id,identifier,base_experience
1,bulbasaur,64
2,ivysaur,142
3,venusaur,236
4,charmander,62
5,charmeleon,142
6,charizard,240
7,squirtle,63
8,wartortle,142
9,blastoise,239
10,caterpie,39
11,metapod,72
12,butterfree,178
13,weedle,39
14,kakuna,72
15,beedrill,178
16,pidgey,50
17,pidgeotto,122
18,pidgeot,216
19,rattata,51
20,raticate,145
21,spearow,52
22,fearow,155
23,ekans,58
24,arbok,157
25,pikachu,112
26,raichu,218
27,sandshrew,60
28,sandslash,158
29,nidoran-f,55
30,nidorina,128
31,nidoqueen,227
32,nidoran-m,55
33,nidorino,128
34,nidoking,227
35,clefairy,113
36,clefable,217
37,vulpix,60
38,ninetales,177
39,jigglypuff,95
40,wigglytuff,196
41,zubat,49
42,golbat,159
43,oddish,64
44,gloom,138
45,vileplume,221
46,paras,57
47,parasect,142
48,venonat,61
49,venomoth,158
50,diglett,53
51,dugtrio,149
52,meowth,58
53,persian,154
54,psyduck,64
55,golduck,175
56,mankey,61
57,primeape,159
58,growlithe,70
59,arcanine,194
60,poliwag,60
61,poliwhirl,135
62,poliwrath,230
63,abra,62
64,kadabra,140
65,alakazam,225
66,machop,61
67,machoke,142
68,machamp,227
69,bellsprout,60
70,weepinbell,137
71,victreebel,221
72,tentacool,67
73,tentacruel,180
74,geodude,60
75,graveler,137
76,golem,223
77,ponyta,82
78,rapidash,175
79,slowpoke,63
80,slowbro,172
81,magnemite,65
82,magneton,163
83,farfetchd,132
84,doduo,62
85,dodrio,165
86,seel,65
87,dewgong,166
88,grimer,65
89,muk,175
90,shellder,61
91,cloyster,184
92,gastly,62
93,haunter,142
94,gengar,225
95,onix,77
96,drowzee,66
97,hypno,169
98,krabby,65
99,kingler,166
100,voltorb,66
101,electrode,172
102,exeggcute,65
103,exeggutor,186
104,cubone,64
105,marowak,149
106,hitmonlee,159
107,hitmonchan,159
108,lickitung,77
109,koffing,68
110,weezing,172
111,rhyhorn,69
112,rhydon,170
113,chansey,395
114,tangela,87
115,kangaskhan,172
116,horsea,59
117,seadra,154
118,goldeen,64
119,seaking,158
120,staryu,68
121,starmie,182
122,mr-mime,161
123,scyther,100
124,jynx,159
125,electabuzz,172
126,magmar,173
127,pinsir,175
128,tauros,172
129,magikarp,40
130,gyarados,189
131,lapras,187
132,ditto,101
133,eevee,65
134,vaporeon,184
135,jolteon,184
136,flareon,184
137,porygon,79
138,omanyte,71
139,omastar,173
140,kabuto,71
141,kabutops,173
142,aerodactyl,180
143,snorlax,189
144,articuno,261
145,zapdos,261
146,moltres,261
147,dratini,60
148,dragonair,147
149,dragonite,270
150,mewtwo,306
151,mew,270
